                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1255,                 5.3066,                 1.6309,                0.04266,                      1,                0.05987,                0.04292,                  0.967,                 4.1325,                 1.7355,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                0.50977,                 2.9605,                 1.1338,                0.91298,                    0.5,                0.55969,                0.51565,                0.41665,                 3.7601,                 1.1195,             4.5059e-05,             4.5059e-05,             4.5059e-05
                      3,                0.25787,                 1.6679,                 1.0161,                0.52713,                      1,                0.74625,                0.64675,                0.44191,                 2.6523,                 1.0543,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      4,                0.28495,                 1.7346,                 0.8683,                0.56806,                      1,                  0.995,                0.75433,                0.43361,                 1.9303,                 1.0141,             8.2033e-05,             8.2033e-05,             8.2033e-05
                      5,                0.34373,                 1.4254,                0.94137,                0.63425,                      1,                0.74625,                0.59417,                0.46078,                 2.1614,                 1.1462,             9.0618e-05,             9.0618e-05,             9.0618e-05
                      6,                0.58752,                 1.4847,                 1.2223,                0.92559,                      1,                  0.995,                  0.796,                0.41476,                 3.4327,                 1.1936,             9.2602e-05,             9.2602e-05,             9.2602e-05
                      7,                0.26868,                 1.2057,                 0.8761,                0.87428,                      1,                  0.995,                0.73091,                0.46306,                 3.4153,                 1.2045,             8.7984e-05,             8.7984e-05,             8.7984e-05
                      8,                0.27462,                 1.2869,                0.83957,                0.94197,                      1,                  0.995,                0.71523,                0.52921,                 2.5473,                 1.1406,             7.6765e-05,             7.6765e-05,             7.6765e-05
                      9,                0.26151,                0.99315,                0.89208,                0.96758,                      1,                  0.995,                0.76938,                0.51386,                 2.1305,                 1.0534,             5.8945e-05,             5.8945e-05,             5.8945e-05
                     10,                0.23704,                0.93405,                0.88901,                0.97292,                      1,                  0.995,                0.81842,                0.47819,                 1.8079,                 1.0201,             3.4524e-05,             3.4524e-05,             3.4524e-05
