                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82839,                 3.5595,                 1.4113,                0.00291,                  0.875,                0.15339,                0.05926,                 1.0786,                 4.2892,                 2.0376,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.68736,                 3.4468,                 1.2883,                 0.0032,                 0.9375,                0.15469,                0.09923,                0.58812,                 4.0483,                  1.344,             8.6634e-05,             8.6634e-05,             8.6634e-05
                      3,                0.58867,                 3.0881,                 1.1591,                0.00325,                 0.9375,                0.39576,                0.32632,                0.43284,                 3.9264,                 1.0809,             0.00013478,             0.00013478,             0.00013478
                      4,                0.56397,                 2.7041,                 1.1262,                0.00322,                 0.9375,                 0.4974,                0.39247,                0.48338,                 3.7036,                 1.0727,             0.00018193,             0.00018193,             0.00018193
                      5,                0.53173,                 2.2536,                 1.0967,                0.00341,                      1,                 0.5364,                0.44023,                0.49842,                 3.5998,                 1.1334,             0.00022809,             0.00022809,             0.00022809
                      6,                0.53541,                 2.0977,                 1.0937,                0.00337,                      1,                 0.5348,                0.45508,                0.45977,                 3.6005,                 1.0716,             0.00027327,             0.00027327,             0.00027327
                      7,                 0.5201,                 2.0284,                 1.1143,                0.00328,                      1,                0.61668,                0.54686,                0.46615,                 3.5703,                 1.0849,             0.00031745,             0.00031745,             0.00031745
                      8,                0.50138,                 1.7941,                 1.0303,                0.00322,                      1,                 0.6735,                 0.5776,                0.46289,                 3.5093,                 1.0957,             0.00036065,             0.00036065,             0.00036065
                      9,                0.51683,                 1.7676,                 1.0523,                0.00324,                      1,                0.73459,                0.60839,                0.55151,                 3.4237,                 1.1445,             0.00040285,             0.00040285,             0.00040285
                     10,                0.50069,                 1.6118,                  1.035,                0.00329,                      1,                0.75851,                0.69157,                0.58483,                 3.4284,                 1.1914,             0.00044406,             0.00044406,             0.00044406
                     11,                0.46855,                 1.5055,                 1.0188,                0.00335,                      1,                0.62847,                0.48725,                0.67111,                 3.4435,                 1.3183,             0.00048429,             0.00048429,             0.00048429
                     12,                0.52469,                 1.4454,                 1.0315,                0.78439,                0.54099,                0.76667,                0.57172,                0.72629,                 3.1836,                 1.3375,             0.00052352,             0.00052352,             0.00052352
                     13,                0.61417,                 1.5642,                 1.0915,                0.66943,                0.55863,                0.75359,                0.55785,                0.74726,                 3.0379,                 1.3149,             0.00056176,             0.00056176,             0.00056176
                     14,                0.50268,                 1.2978,                 1.0103,                0.67063,                0.55917,                0.68171,                0.56884,                 0.7486,                 3.0822,                 1.3125,             0.00059902,             0.00059902,             0.00059902
                     15,                0.55516,                 1.4301,                 1.0468,                0.56033,                0.47841,                 0.7503,                0.55306,                0.87958,                 2.9622,                 1.6354,             0.00063528,             0.00063528,             0.00063528
                     16,                0.50832,                  1.366,                 1.0033,                0.52521,                0.72139,                0.75158,                 0.5757,                0.83091,                 2.9325,                 1.5455,             0.00067056,             0.00067056,             0.00067056
                     17,                0.55787,                 1.2367,                 1.0604,                0.57685,                0.77675,                0.80812,                0.58784,                0.82339,                 2.9317,                 1.5295,             0.00070484,             0.00070484,             0.00070484
                     18,                0.54322,                 1.1826,                 1.0066,                0.43758,                 0.8125,                0.67445,                0.51375,                0.86203,                 2.6289,                 1.4881,             0.00073813,             0.00073813,             0.00073813
                     19,                0.52205,                 1.2084,                0.99446,                0.56023,                 0.8125,                0.75455,                0.59671,                0.68238,                 2.4014,                 1.3397,             0.00077044,             0.00077044,             0.00077044
                     20,                0.58361,                 1.2323,                 1.0208,                0.54672,                0.87592,                0.92208,                0.74408,                0.63669,                 2.2202,                 1.3201,             0.00080175,             0.00080175,             0.00080175
                     21,                0.55971,                 1.1415,                 1.0055,                0.89354,                0.71959,                0.76538,                 0.5615,                0.75694,                 2.1638,                 1.4202,             0.00083208,             0.00083208,             0.00083208
                     22,                0.54294,                 1.3414,                 1.0699,                0.77774,                 0.7152,                0.80417,                0.62287,                0.76091,                 2.2061,                 1.4414,             0.00086141,             0.00086141,             0.00086141
                     23,                0.54974,                 1.1001,                 1.0083,                0.63217,                0.72077,                0.83134,                0.60965,                0.79241,                  2.402,                 1.4449,             0.00088975,             0.00088975,             0.00088975
                     24,                0.54743,                 1.0905,                 1.0138,                0.69158,                 0.4897,                  0.771,                  0.577,                 0.7228,                 2.5638,                 1.3769,             0.00091711,             0.00091711,             0.00091711
                     25,                 0.5227,                 1.1659,                 1.0152,                0.93928,                0.45711,                0.76139,                0.56527,                0.80533,                 2.5865,                 1.4412,             0.00094347,             0.00094347,             0.00094347
                     26,                0.50783,                 1.1535,                0.98527,                0.77629,                0.58455,                0.65718,                0.48139,                0.94734,                 2.6282,                 1.6518,             0.00094062,             0.00094062,             0.00094062
                     27,                0.52954,                 1.1892,                0.99541,                0.93119,                0.55138,                 0.7127,                0.56178,                0.86982,                 2.3357,                 1.5738,             0.00092825,             0.00092825,             0.00092825
                     28,                0.49767,                 1.1146,                0.99428,                0.85995,                  0.568,                0.65689,                0.50451,                 0.8586,                 2.2492,                 1.6327,             0.00091588,             0.00091588,             0.00091588
                     29,                0.45075,                0.97927,                0.95433,                0.92651,                    0.5,                0.62576,                0.48709,                0.82385,                 2.4576,                 1.5901,              0.0009035,              0.0009035,              0.0009035
                     30,                0.53759,                 1.1375,                 1.0146,                 0.9347,                0.49334,                0.63687,                0.49778,                0.78401,                 2.5118,                 1.4662,             0.00089112,             0.00089112,             0.00089112
                     31,                0.47821,                 1.0071,                0.96247,                0.93661,                    0.5,                0.68148,                0.53912,                0.78215,                 2.2696,                 1.4509,             0.00087875,             0.00087875,             0.00087875
                     32,                0.50826,                 1.0434,                0.98057,                0.76989,                0.65364,                0.70648,                0.55381,                0.68008,                 2.1822,                 1.3142,             0.00086637,             0.00086637,             0.00086637
                     33,                0.43924,                  1.011,                0.95279,                0.78998,                 0.6875,                0.67885,                 0.5426,                0.66072,                 1.9192,                  1.274,               0.000854,               0.000854,               0.000854
                     34,                 0.4507,                0.95296,                0.96312,                0.84726,                0.74438,                0.69691,                0.54352,                0.66106,                 1.8834,                 1.3133,             0.00084162,             0.00084162,             0.00084162
                     35,                0.50875,                 1.0971,                0.99883,                 0.8971,                0.72864,                0.70011,                0.53769,                0.66313,                 1.9671,                 1.2971,             0.00082925,             0.00082925,             0.00082925
                     36,                0.48197,                0.96909,                0.98262,                0.83898,                0.73471,                0.80838,                0.57777,                0.67861,                 1.7979,                  1.299,             0.00081688,             0.00081688,             0.00081688
                     37,                0.50744,                0.97254,                0.99029,                 0.8273,                0.88228,                   0.97,                0.80626,                0.66614,                 1.6276,                 1.3162,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.4561,                 0.9288,                0.96368,                0.74178,                0.84482,                  0.995,                0.79102,                 0.6399,                 1.7146,                 1.2862,             0.00079213,             0.00079213,             0.00079213
                     39,                0.45936,                0.93141,                0.95369,                0.89878,                   0.75,                  0.995,                 0.7906,                0.60591,                 1.6807,                 1.2602,             0.00077975,             0.00077975,             0.00077975
                     40,                0.42739,                 0.8596,                0.94189,                0.92987,                   0.75,                  0.995,                0.82833,                0.66184,                 1.5601,                 1.3877,             0.00076738,             0.00076738,             0.00076738
                     41,                0.38819,                0.83851,                0.94625,                0.96376,                   0.75,                  0.995,                0.84952,                0.61547,                 1.5396,                 1.3426,               0.000755,               0.000755,               0.000755
                     42,                0.37819,                0.76796,                0.92589,                0.95393,                0.82101,                  0.995,                 0.8642,                0.52897,                 1.4527,                 1.2402,             0.00074263,             0.00074263,             0.00074263
                     43,                0.42446,                0.92326,                0.93819,                0.95073,                0.93806,                  0.995,                 0.8671,                0.56762,                 1.4595,                 1.2402,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.4011,                0.85837,                0.92493,                0.97566,                0.89694,                  0.995,                0.84667,                0.61027,                 1.5112,                 1.2346,             0.00071788,             0.00071788,             0.00071788
                     45,                0.46776,                0.84119,                0.99978,                 0.9664,                 0.8856,                0.93297,                0.81906,                0.65431,                 1.6731,                 1.2778,              0.0007055,              0.0007055,              0.0007055
                     46,                 0.4677,                0.87839,                0.97494,                0.95323,                 0.8261,                0.98667,                0.82466,                0.67425,                 1.7552,                 1.3096,             0.00069313,             0.00069313,             0.00069313
                     47,                 0.4514,                0.90969,                0.95703,                0.93932,                0.81585,                0.98667,                0.81871,                0.68554,                 1.7324,                 1.3234,             0.00068075,             0.00068075,             0.00068075
                     48,                0.52478,                0.92514,                0.99423,                0.94428,                0.86683,                  0.995,                0.82274,                0.71674,                 1.6077,                  1.334,             0.00066838,             0.00066838,             0.00066838
