                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99179,                 3.9615,                 1.4583,                0.00378,                0.83333,                0.02655,                0.01139,                  1.226,                   4.85,                 1.9849,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                0.85262,                 3.8378,                 1.3682,                0.00531,                0.98148,                 0.1225,                0.07656,                0.86376,                 4.4824,                 1.4569,             8.3753e-05,             8.3753e-05,             8.3753e-05
                      3,                0.79064,                  3.472,                 1.3058,                0.00497,                0.98148,                0.25281,                0.18528,                0.76987,                 4.3956,                 1.2876,             0.00012814,             0.00012814,             0.00012814
                      4,                0.72406,                 3.2196,                 1.1873,                0.00535,                0.98148,                0.26145,                0.20672,                0.82073,                 4.2872,                 1.2937,             0.00017162,             0.00017162,             0.00017162
                      5,                0.72018,                 3.0411,                 1.1787,                0.00567,                      1,                0.33573,                0.25834,                0.77781,                 4.2139,                 1.2456,             0.00021418,             0.00021418,             0.00021418
                      6,                0.77167,                 2.7602,                  1.229,                0.00565,                      1,                  0.385,                0.27903,                0.84618,                 4.2209,                 1.3057,             0.00025583,             0.00025583,             0.00025583
                      7,                 0.7622,                 2.5152,                 1.2056,                0.00478,                      1,                0.38083,                 0.3088,                0.85825,                 4.1039,                 1.2677,             0.00029656,             0.00029656,             0.00029656
                      8,                0.75873,                 2.3779,                 1.1884,                0.80839,                0.27778,                0.43383,                0.31802,                0.99595,                 3.9325,                 1.3505,             0.00033638,             0.00033638,             0.00033638
                      9,                0.77649,                 2.2565,                 1.1994,                0.86038,                0.22222,                0.47274,                0.33062,                0.98243,                 3.8077,                 1.4337,             0.00037529,             0.00037529,             0.00037529
                     10,                0.76662,                 2.1798,                 1.1857,                0.84168,                0.11111,                0.48415,                0.34747,                0.95019,                 3.7241,                 1.3853,             0.00041328,             0.00041328,             0.00041328
                     11,                0.76454,                 2.1465,                 1.1688,                0.86219,                0.16667,                0.44555,                 0.3222,                0.87188,                 3.6443,                 1.2993,             0.00045036,             0.00045036,             0.00045036
                     12,                0.69824,                 2.0715,                 1.1781,                0.67018,                0.42398,                0.48858,                0.38573,                0.95005,                 3.3248,                 1.3835,             0.00048653,             0.00048653,             0.00048653
                     13,                0.75317,                  1.916,                 1.1854,                0.63266,                0.45517,                0.55583,                0.43102,                  0.969,                 3.3433,                 1.4341,             0.00052178,             0.00052178,             0.00052178
                     14,                0.68714,                 1.8377,                 1.1175,                0.69098,                0.36315,                 0.5483,                0.42024,                0.96033,                  3.615,                 1.4341,             0.00055612,             0.00055612,             0.00055612
                     15,                0.69971,                 1.7719,                 1.1642,                0.68566,                0.36111,                0.53025,                 0.3887,                0.98306,                 3.7178,                 1.4606,             0.00058955,             0.00058955,             0.00058955
                     16,                0.69479,                 1.7378,                 1.1844,                0.76109,                0.56386,                0.75585,                0.55661,                0.92204,                 3.0783,                 1.3692,             0.00062206,             0.00062206,             0.00062206
                     17,                0.69367,                 1.5747,                 1.1161,                0.74205,                0.57478,                  0.791,                0.60632,                0.84665,                  2.989,                 1.3444,             0.00064719,             0.00064719,             0.00064719
                     18,                0.71777,                 1.7003,                 1.1381,                0.71469,                0.50598,                0.78304,                0.55284,                 0.9273,                 2.9422,                 1.4378,             0.00063958,             0.00063958,             0.00063958
                     19,                0.65249,                 1.4808,                 1.1341,                0.72872,                0.55237,                0.69645,                0.54712,                0.96829,                 2.9027,                 1.4613,             0.00063196,             0.00063196,             0.00063196
                     20,                0.62555,                 1.4145,                 1.0935,                 0.8034,                0.54187,                0.67762,                0.52176,                 1.0261,                 2.9458,                 1.5024,             0.00062435,             0.00062435,             0.00062435
                     21,                 0.6699,                 1.4384,                  1.114,                0.78028,                0.54207,                 0.6673,                0.53262,                 1.0269,                 3.0135,                  1.525,             0.00061674,             0.00061674,             0.00061674
                     22,                0.68041,                 1.4375,                 1.0896,                0.75799,                0.57452,                0.68833,                0.52598,                0.92406,                 2.6009,                 1.4412,             0.00060912,             0.00060912,             0.00060912
                     23,                0.67145,                 1.4106,                 1.1127,                0.76305,                0.63939,                0.69314,                0.53199,                0.93638,                 2.6647,                 1.4352,             0.00060151,             0.00060151,             0.00060151
                     24,                0.60822,                 1.3201,                 1.0372,                0.84331,                0.61097,                0.74972,                0.58583,                0.88545,                 2.4356,                  1.368,              0.0005939,              0.0005939,              0.0005939
                     25,                0.63175,                  1.206,                 1.0576,                0.88623,                0.58088,                0.73357,                0.57553,                0.82834,                 2.3556,                 1.3047,             0.00058629,             0.00058629,             0.00058629
                     26,                 0.6444,                   1.34,                 1.0868,                0.75671,                0.65551,                0.73216,                0.56117,                0.85919,                 2.4607,                  1.338,             0.00057867,             0.00057867,             0.00057867
